10:04:39 Hybrid tokenizer, passthrough_prob=0.5
10:04:40 Model: 20.64M params, train=184, val=10
11:38:34 step=28700 loss=0.02733 lr=2.00e-03 mode=passthrough t=5635s
11:38:54 step=28800 loss=0.02884 lr=2.00e-03 mode=passthrough t=5654s
11:39:14 step=28900 loss=0.02828 lr=2.00e-03 mode=all-discrete t=5674s
11:39:33 step=29000 loss=0.02915 lr=2.00e-03 mode=passthrough t=5694s
11:39:53 step=29100 loss=0.02743 lr=2.00e-03 mode=passthrough t=5713s
11:40:13 step=29200 loss=0.02759 lr=2.00e-03 mode=all-discrete t=5733s
11:40:32 step=29300 loss=0.02959 lr=2.00e-03 mode=all-discrete t=5752s
11:40:52 step=29400 loss=0.02980 lr=2.00e-03 mode=all-discrete t=5772s
11:41:12 step=29500 loss=0.02962 lr=2.00e-03 mode=all-discrete t=5792s
11:41:31 step=29600 loss=0.03033 lr=2.00e-03 mode=passthrough t=5811s
11:41:51 step=29700 loss=0.03011 lr=2.00e-03 mode=passthrough t=5831s
11:42:10 step=29800 loss=0.03014 lr=2.00e-03 mode=passthrough t=5850s
11:42:30 step=29900 loss=0.02911 lr=2.00e-03 mode=passthrough t=5870s
11:42:50 step=30000 loss=0.03009 lr=2.00e-03 mode=passthrough t=5890s
11:43:09 step=30100 loss=0.02829 lr=2.00e-03 mode=all-discrete t=5909s
11:43:29 step=30200 loss=0.02946 lr=2.00e-03 mode=passthrough t=5929s
11:43:49 step=30300 loss=0.03287 lr=2.00e-03 mode=all-discrete t=5949s
11:44:08 step=30400 loss=0.02489 lr=2.00e-03 mode=passthrough t=5968s
11:44:28 step=30500 loss=0.03266 lr=2.00e-03 mode=passthrough t=5988s
11:44:42 VAL step=30567 epoch=333 val=0.03665
11:44:48 step=30600 loss=0.02359 lr=2.00e-03 mode=passthrough t=6008s
11:45:08 step=30700 loss=0.03014 lr=2.00e-03 mode=passthrough t=6028s
11:45:27 step=30800 loss=0.02830 lr=2.00e-03 mode=all-discrete t=6047s
11:45:47 step=30900 loss=0.02849 lr=2.00e-03 mode=all-discrete t=6067s
11:46:06 step=31000 loss=0.02793 lr=2.00e-03 mode=all-discrete t=6086s
11:46:26 step=31100 loss=0.02759 lr=2.00e-03 mode=passthrough t=6106s
11:46:46 step=31200 loss=0.02850 lr=2.00e-03 mode=all-discrete t=6126s
11:47:05 step=31300 loss=0.03041 lr=2.00e-03 mode=all-discrete t=6146s
11:47:25 step=31400 loss=0.02708 lr=2.00e-03 mode=passthrough t=6165s
11:47:45 step=31500 loss=0.02808 lr=2.00e-03 mode=passthrough t=6185s
